iter	Logloss
0	0.6790079851
1	0.6658091991
2	0.6525854078
3	0.6399304702
4	0.6289180728
5	0.6182875515
6	0.6092800039
7	0.5997002923
8	0.5904765058
9	0.5820677824
10	0.5748293971
11	0.5667703919
12	0.5600552243
13	0.5532184
14	0.5468809114
15	0.5406861238
16	0.5340008087
17	0.5288080026
18	0.5240443638
19	0.5197534593
20	0.5154350078
21	0.511052654
22	0.5069506186
23	0.5034440971
24	0.4998383233
25	0.495774978
26	0.4927396243
27	0.4890758302
28	0.4857469757
29	0.4826749418
30	0.48009447
31	0.4777061185
32	0.475082198
33	0.4725865251
34	0.4701683506
35	0.4674631188
36	0.465751563
37	0.4629753944
38	0.4602478471
39	0.4581357351
40	0.4563509666
41	0.4542248742
42	0.4524947566
43	0.450884463
44	0.4494736789
45	0.4477793844
46	0.4459181816
47	0.4443345779
48	0.442999105
49	0.4418139589
50	0.4408238889
51	0.4392540292
52	0.4381713572
53	0.4366390644
54	0.4356643935
55	0.4345439477
56	0.433522695
57	0.4323629384
58	0.431336129
59	0.4296275289
60	0.428685755
61	0.4277462273
62	0.4269576472
63	0.4260369178
64	0.4252129876
65	0.4242970169
66	0.4234531356
67	0.4224841693
68	0.4213913592
69	0.4206052619
70	0.4198544851
71	0.4190370278
72	0.4176438006
73	0.4167544312
74	0.4160798523
75	0.4155229102
76	0.4148509619
77	0.4141666588
78	0.4134430744
79	0.4127517368
80	0.4118052928
81	0.4109780226
82	0.4103039462
83	0.4097011317
84	0.4091282879
85	0.4085810701
86	0.4073293617
87	0.4061093679
88	0.4052597822
89	0.4046170362
90	0.4036540994
91	0.4032893368
92	0.402819972
93	0.4021011759
94	0.4013177091
95	0.4006844509
96	0.4002137856
97	0.399794047
98	0.399366328
99	0.3990412308
100	0.398709572
101	0.398338691
102	0.3978567645
103	0.3968518273
104	0.3963622456
105	0.3957751849
106	0.3948787218
107	0.3945451713
108	0.3942119164
109	0.393876829
110	0.3935092289
111	0.3930858547
112	0.3927445308
113	0.3923797977
114	0.3920262076
115	0.3916757505
116	0.3914376691
117	0.3910924436
118	0.3908367757
119	0.3901997638
120	0.389795513
121	0.3893194388
122	0.388974036
123	0.3885974801
124	0.3880122224
125	0.38767013
126	0.3873528654
127	0.3864771513
128	0.3861406451
129	0.3857107389
130	0.3847392011
131	0.3844408529
132	0.383916926
133	0.3835420548
134	0.3828590227
135	0.3826161234
136	0.3824108207
137	0.3821691333
138	0.3815388308
139	0.3807970985
140	0.3804618337
141	0.3801366774
142	0.3799335323
143	0.3796456769
144	0.3793696443
145	0.3791214248
146	0.3789344769
147	0.3786337938
148	0.3783711801
149	0.3781085663
150	0.3777711143
151	0.377043392
152	0.3768447987
153	0.3764190896
154	0.3761872446
155	0.375940503
156	0.375604588
157	0.3753438067
158	0.3748359588
159	0.3746084883
160	0.3743547416
161	0.3742235382
162	0.3740135655
163	0.3738394453
164	0.3735440233
165	0.3733588489
166	0.3731480485
167	0.3729529134
168	0.3727842317
169	0.3725631455
170	0.3723615669
171	0.3720954359
172	0.3719236212
173	0.3716297953
174	0.3713948469
175	0.3712329042
176	0.3710391583
177	0.3706203655
178	0.3703460767
179	0.3700727338
180	0.3692001528
181	0.3688446414
182	0.3686601172
183	0.3685178004
184	0.3683836708
185	0.368137077
186	0.3679227298
187	0.3676318891
188	0.3673284277
189	0.3668156732
190	0.3664873839
191	0.3662600908
192	0.3660069352
193	0.3658134553
194	0.3656756311
195	0.3654172736
196	0.3649055241
197	0.3645623085
198	0.3642533198
199	0.3640828352
200	0.3636194114
201	0.3634875577
202	0.3632080374
203	0.3629863896
204	0.3625393699
205	0.3623430229
206	0.3620565862
207	0.3619272449
208	0.3617497848
209	0.3615027476
210	0.3610299542
211	0.3608198632
212	0.3604596524
213	0.3603842525
214	0.3602437387
215	0.3600422192
216	0.3599197055
217	0.3597754379
218	0.3596508848
219	0.3594853066
220	0.3591760224
221	0.358907586
222	0.3587172095
223	0.3585583112
224	0.3583965163
225	0.3582290169
226	0.3578782347
227	0.3576580944
228	0.3574101113
229	0.3571036646
230	0.356867327
231	0.3566583001
232	0.356584319
233	0.356381765
234	0.3561751026
235	0.3560358893
236	0.3558877201
237	0.3557358564
238	0.3554767304
239	0.3553602463
240	0.3550993469
241	0.3548831376
242	0.3547253329
243	0.3544670345
244	0.3542487562
245	0.3540328721
246	0.3538074115
247	0.353621439
248	0.3535281867
249	0.3534406981
250	0.3533321648
251	0.3531936904
252	0.3529413329
253	0.3527087787
254	0.3525546981
255	0.3524417314
256	0.352281503
257	0.3521458956
258	0.3520035788
259	0.3518116949
260	0.351735763
261	0.3515398298
262	0.3513331379
263	0.3511659045
264	0.351062928
265	0.3508186691
266	0.3505230403
267	0.3503608316
268	0.350189342
269	0.3499629947
270	0.3497236127
271	0.3495516207
272	0.349378269
273	0.3491058128
274	0.3488869138
275	0.3486561921
276	0.3484781113
277	0.3482717445
278	0.3480877523
279	0.3479517015
280	0.3477402805
281	0.3475276772
282	0.3474282475
283	0.3472293586
284	0.3470763421
285	0.3468047431
286	0.3465693809
287	0.3464455667
288	0.3462415349
289	0.3459841823
290	0.3458038847
291	0.3456999033
292	0.3454875364
293	0.3453019777
294	0.3450526646
295	0.3449460526
296	0.3448272927
297	0.344670552
298	0.3444215936
299	0.3442577297
300	0.3441014324
301	0.3439545047
302	0.3437162459
303	0.343613565
304	0.3434580953
305	0.3430987416
306	0.3429372127
307	0.3427523929
308	0.3426076229
309	0.3424475423
310	0.3423036589
311	0.342106307
312	0.3416688046
313	0.3415513748
314	0.3414380829
315	0.3411819421
316	0.3410537831
317	0.3408538597
318	0.3407405678
319	0.3405829109
320	0.3403755687
321	0.3402010052
322	0.339935554
323	0.339801454
324	0.3396985661
325	0.3394824455
326	0.3393472519
327	0.339121614
328	0.3389031583
329	0.3387786939
330	0.3385829676
331	0.3384162072
332	0.3383043636
333	0.3380971692
334	0.3379646357
335	0.3376925933
336	0.3375193303
337	0.3374104424
338	0.3372777907
339	0.3371148135
340	0.3367154101
341	0.3366044236
342	0.3364407962
343	0.3362724397
344	0.3360905165
345	0.3359974415
346	0.3359248496
347	0.3357640301
348	0.3355228156
349	0.3353244292
350	0.3351787724
351	0.3350415689
352	0.3349239322
353	0.3347898026
354	0.3345643715
355	0.3343969313
356	0.3341951162
357	0.3341023073
358	0.3340024934
359	0.3338976253
360	0.3337393477
361	0.3336174843
362	0.3333880334
363	0.3332657267
364	0.3331520505
365	0.3330188668
366	0.33284986
367	0.3327551299
368	0.3325527533
369	0.3323522388
370	0.3321605618
371	0.3320589744
372	0.3319431407
373	0.3318202723
374	0.3316874728
375	0.3315796194
376	0.3313924055
377	0.3311963836
378	0.3310986978
379	0.3309494056
380	0.3307574625
381	0.3306249882
382	0.3305259132
383	0.330385754
384	0.3302205896
385	0.3300121243
386	0.3298345755
387	0.3296515587
388	0.3295140597
389	0.3293870238
390	0.3291955832
391	0.3290565177
392	0.3289106835
393	0.3287056172
394	0.3285122259
395	0.3283871704
396	0.3282608439
397	0.3281531087
398	0.3279843088
399	0.3278511842
400	0.327672926
401	0.3275465109
402	0.3273591196
403	0.3272626457
404	0.3271264176
405	0.326995687
406	0.3268047194
407	0.3266464418
408	0.3265213862
409	0.3263966854
410	0.326208171
411	0.3260859233
412	0.3258532508
413	0.3257135645
414	0.325502173
415	0.3253294125
416	0.3252025835
417	0.3250541484
418	0.3249264622
419	0.3247936036
420	0.3246678978
421	0.3245770397
422	0.324484881
423	0.3243378942
424	0.324191794
425	0.3240769947
426	0.3238925001
427	0.3237119956
428	0.3235825361
429	0.3234940129
430	0.3233717653
431	0.3232371333
432	0.3229995247
433	0.3228512669
434	0.322684536
435	0.3225102977
436	0.322385183
437	0.3222953889
438	0.3222034371
439	0.3220743914
440	0.3219335819
441	0.3217971469
442	0.3216172336
443	0.3215323755
444	0.3213899109
445	0.32125587
446	0.3211304007
447	0.3209981332
448	0.3208782205
449	0.3206806617
450	0.3205340887
451	0.3204542848
452	0.3203527862
453	0.3202310114
454	0.3200881034
455	0.3199512546
456	0.3198759435
457	0.3196780299
458	0.3195591222
459	0.3194557024
460	0.3193264497
461	0.3192119164
462	0.31906023
463	0.3188678732
464	0.318769478
465	0.3186245602
466	0.3184806177
467	0.3183212465
468	0.3181904864
469	0.3180956972
470	0.3179278431
471	0.3178400589
472	0.3177606098
473	0.3175859872
474	0.3174428723
475	0.3173249991
476	0.3171941208
477	0.3169532314
478	0.3168639398
479	0.316770924
480	0.3165804884
481	0.3163998361
482	0.3162652632
483	0.3161538334
484	0.3160736749
485	0.315947644
486	0.3158193962
487	0.3156958776
488	0.3155855414
489	0.3153915886
490	0.3151860493
491	0.3150601071
492	0.3148899476
493	0.3147539263
494	0.3145758456
495	0.3145005048
496	0.31437273
497	0.3142568076
498	0.3140515048
499	0.3138891779
500	0.313768349
501	0.3136124064
502	0.3135203955
503	0.3133503247
504	0.3132766096
505	0.313088775
506	0.3129474926
507	0.312805028
508	0.3126885735
509	0.3125774393
510	0.3124945024
511	0.3123743237
512	0.3121875828
513	0.31203832
514	0.3119727922
515	0.3118572244
516	0.3116826609
517	0.3115229646
518	0.3113009917
519	0.3112024783
520	0.3110212645
521	0.3108996671
522	0.310815873
523	0.3106363735
524	0.3105383035
525	0.3104112085
526	0.3102843499
527	0.3101215797
528	0.3099614104
529	0.3098423549
530	0.309719457
531	0.309586894
532	0.3094739272
533	0.3093630294
534	0.3092833734
535	0.3092037469
536	0.3090610754
537	0.3089343055
538	0.3088254767
539	0.3086890417
540	0.3086110999
541	0.3084849803
542	0.3083505552
543	0.3081998737
544	0.3080578229
545	0.3079958124
546	0.3078499191
547	0.3076819764
548	0.30760835
549	0.307492191
550	0.307371303
551	0.3072407498
552	0.3071162263
553	0.307008964
554	0.3067882325
555	0.3066412161
556	0.306553757
557	0.3064046421
558	0.3063015474
559	0.3062035364
560	0.3060647369
561	0.3059491395
562	0.3058064089
563	0.305619195
564	0.3054614199
565	0.3053312509
566	0.30524592
567	0.3050928739
568	0.3049723701
569	0.3048342799
570	0.304747146
571	0.3046060705
572	0.3045307298
573	0.3044094871
574	0.3042930917
575	0.3041586666
576	0.3039802016
577	0.3038357271
578	0.3037367999
579	0.3036531832
580	0.3035464825
581	0.3034049046
582	0.3032478388
583	0.303109453
584	0.3029950084
585	0.3029043276
586	0.302741646
587	0.3026299206
588	0.3024597316
589	0.3023611591
590	0.3021617381
591	0.3020520226
592	0.3019140507
593	0.3017595268
594	0.3016510823
595	0.3014925091
596	0.3013327241
597	0.3012158262
598	0.3011479634
599	0.3010267502
600	0.3009467986
601	0.3008089153
602	0.3007071802
603	0.3006058293
604	0.3004986262
605	0.3004157484
606	0.3003302992
607	0.3002175393
608	0.300047232
609	0.2999096443
610	0.2998427569
611	0.2996543607
612	0.2995298076
613	0.2993065047
614	0.2992358339
615	0.2991237539
616	0.298998255
617	0.2988571204
618	0.2987384787
619	0.2985823883
620	0.2984659338
621	0.2983586124
622	0.2982724538
623	0.2981639206
624	0.2979387556
625	0.2978316707
626	0.2977561821
627	0.2976803389
628	0.2975283865
629	0.2974176365
630	0.2972689354
631	0.2971836044
632	0.2970752485
633	0.2969782425
634	0.2968808523
635	0.2968118663
636	0.2966797466
637	0.2965912826
638	0.2964949268
639	0.2963989849
640	0.2963006193
641	0.2961617015
642	0.2960607053
643	0.2959010976
644	0.2957445048
645	0.2956404051
646	0.2955551037
647	0.2954479892
648	0.2953249139
649	0.2952238586
650	0.295082665
651	0.2949576389
652	0.2948361007
653	0.2946850349
654	0.2945295061
655	0.2943938396
656	0.2942953262
657	0.2942312467
658	0.2941639159
659	0.2940893436
660	0.2939548298
661	0.2938801394
662	0.293813311
663	0.2937146499
664	0.2936188853
665	0.293457179
666	0.2933558873
667	0.2932170286
668	0.2930153614
669	0.2928977541
670	0.2928136941
671	0.2927449741
672	0.2926508352
673	0.2925668342
674	0.2924940354
675	0.2924199952
676	0.2923237577
677	0.292218121
678	0.2921190756
679	0.2920301091
680	0.291935379
681	0.2918414765
682	0.2917296329
683	0.2915925772
684	0.291464891
685	0.291398713
686	0.2913088598
687	0.2912454305
688	0.2911293602
689	0.2909981864
690	0.2908868748
691	0.2907815929
692	0.2906536703
693	0.2905153732
694	0.2904116577
695	0.2903139424
696	0.2902557151
697	0.2901640294
698	0.2900167765
699	0.2898916914
700	0.2897768921
701	0.2896697185
702	0.2895834122
703	0.2894446421
704	0.289292069
705	0.2891555454
706	0.2890618497
707	0.288940607
708	0.2888684289
709	0.2887791077
710	0.2886452146
711	0.2885614206
712	0.288473725
713	0.2883374674
714	0.2882186779
715	0.288134943
716	0.2880367251
717	0.2879414039
718	0.287826043
719	0.2877195788
720	0.2876395089
721	0.2875281382
722	0.2874662755
723	0.2873406288
724	0.2872348148
725	0.2871485084
726	0.2869968811
727	0.2868412932
728	0.286735361
729	0.2866060197
730	0.2864951515
731	0.2863673471
732	0.286229582
733	0.2861173838
734	0.2859469582
735	0.2858286121
736	0.2857043546
737	0.2856249054
738	0.2855077711
739	0.2854284993
740	0.2852369997
741	0.2851267521
742	0.2850086129
743	0.2848926904
744	0.2847314276
745	0.2846465695
746	0.284547465
747	0.2844703508
748	0.28436566
749	0.2842277471
750	0.2840920806
751	0.2839784636
752	0.2838623342
753	0.2837864615
754	0.2836551103
755	0.2835500057
756	0.2834684284
757	0.2833886837
758	0.2832010856
759	0.2831080993
760	0.2830221772
761	0.2829181957
762	0.2827996723
763	0.2826826858
764	0.2826216506
765	0.2824568113
766	0.2823702685
767	0.2822955189
768	0.2822058726
769	0.2820694967
770	0.2820003334
771	0.2819285986
772	0.2818147747
773	0.2817410005
774	0.2816692066
775	0.2815693927
776	0.2814452534
777	0.2812758032
778	0.2811142448
779	0.2809499376
780	0.2808590203
781	0.2807231765
782	0.2806453825
783	0.2805692142
784	0.2804675677
785	0.2803961581
786	0.2803173592
787	0.2802373189
788	0.2801703428
789	0.2801050514
790	0.2800220554
791	0.2799195814
792	0.2797918361
793	0.279741944
794	0.2796280018
795	0.2795299318
796	0.2794594975
797	0.2793704128
798	0.2792893971
799	0.279166913
800	0.2790764095
801	0.278978369
802	0.2788544957
803	0.2787971552
804	0.2787196864
805	0.2785865617
806	0.2784790335
807	0.2783582932
808	0.2782922629
809	0.2781538181
810	0.2780652358
811	0.2780091071
812	0.2779165938
813	0.2778390658
814	0.2777742178
815	0.2776844828
816	0.2775939202
817	0.277515476
818	0.2774478201
819	0.2773888835
820	0.2773245675
821	0.2772101229
822	0.2770377466
823	0.2769559625
824	0.2768468381
825	0.276783734
826	0.2767033685
827	0.2766136336
