iter	Passed	Remaining
0	142	142224
1	150	74904
2	158	52672
3	170	42479
4	178	35540
5	186	30899
6	194	27582
7	202	25108
8	210	23138
9	217	21563
10	225	20293
11	233	19240
12	242	18376
13	249	17580
14	259	17011
15	266	16377
16	274	15895
17	283	15450
18	291	15032
19	298	14642
20	308	14404
21	316	14061
22	323	13757
23	330	13458
24	338	13218
25	346	12974
26	353	12751
27	361	12535
28	369	12378
29	376	12186
30	384	12026
31	392	11888
32	400	11748
33	408	11619
34	419	11569
35	427	11453
36	435	11346
37	443	11236
38	452	11155
39	460	11046
40	468	10965
41	478	10917
42	488	10870
43	497	10798
44	505	10717
45	513	10643
46	521	10580
47	530	10522
48	539	10466
49	547	10410
50	555	10337
51	563	10266
52	570	10189
53	578	10132
54	585	10066
55	593	10010
56	601	9952
57	609	9901
58	617	9846
59	625	9800
60	633	9754
61	642	9713
62	649	9662
63	657	9616
64	665	9575
65	673	9537
66	681	9490
67	689	9444
68	698	9421
69	705	9378
70	713	9332
71	720	9288
72	727	9243
73	735	9203
74	743	9164
75	750	9124
76	758	9089
77	765	9047
78	772	9010
79	780	8979
80	788	8948
81	796	8915
82	804	8885
83	811	8851
84	819	8822
85	826	8784
86	834	8757
87	841	8723
88	849	8693
89	856	8664
90	864	8637
91	872	8615
92	880	8588
93	888	8560
94	895	8533
95	903	8510
96	911	8485
97	922	8492
98	930	8467
99	937	8439
100	947	8429
101	955	8409
102	963	8393
103	971	8371
104	979	8352
105	987	8327
106	995	8309
107	1003	8289
108	1012	8275
109	1021	8266
110	1030	8251
111	1038	8231
112	1046	8210
113	1056	8213
114	1064	8191
115	1072	8174
116	1085	8195
117	1093	8176
118	1101	8154
119	1109	8138
120	1117	8116
121	1128	8123
122	1138	8119
123	1146	8099
124	1154	8080
125	1161	8058
126	1169	8040
127	1179	8032
128	1187	8016
129	1195	7998
130	1203	7982
131	1211	7966
132	1219	7951
133	1228	7936
134	1236	7924
135	1248	7929
136	1258	7928
137	1266	7910
138	1276	7904
139	1284	7890
140	1293	7878
141	1303	7876
142	1311	7862
143	1321	7856
144	1329	7837
145	1337	7822
146	1345	7805
147	1354	7795
148	1362	7783
149	1371	7771
150	1380	7759
151	1387	7742
152	1396	7731
153	1405	7719
154	1413	7707
155	1423	7698
156	1431	7687
157	1439	7672
158	1447	7658
159	1457	7649
160	1466	7640
161	1474	7627
162	1483	7619
163	1492	7605
164	1500	7591
165	1507	7576
166	1515	7561
167	1524	7551
168	1532	7537
169	1540	7521
170	1548	7506
171	1555	7490
172	1563	7476
173	1571	7458
174	1578	7441
175	1586	7425
176	1593	7408
177	1601	7395
178	1609	7380
179	1616	7365
180	1624	7348
181	1632	7336
182	1639	7319
183	1647	7306
184	1654	7289
185	1662	7274
186	1669	7258
187	1677	7244
188	1684	7228
189	1692	7215
190	1700	7203
191	1708	7191
192	1716	7175
193	1723	7161
194	1731	7146
195	1738	7130
196	1745	7116
197	1753	7100
198	1761	7088
199	1768	7073
200	1776	7061
201	1783	7046
202	1792	7036
203	1799	7020
204	1807	7008
205	1814	6993
206	1822	6980
207	1829	6965
208	1836	6952
209	1844	6937
210	1852	6926
211	1860	6914
212	1867	6901
213	1874	6883
214	1882	6873
215	1891	6865
216	1898	6850
217	1906	6837
218	1913	6823
219	1920	6810
220	1927	6795
221	1935	6784
222	1943	6770
223	1950	6757
224	1958	6744
225	1965	6731
226	1972	6717
227	1979	6703
228	1987	6692
229	1995	6679
230	2003	6669
231	2010	6656
